49285991, Бегалина — Луганского,110000000,529,2010,в коттедже,10,хорошее
49088053, мкр Баганашыл,756000000,834.5,1999,в коттедже,20,хорошее
49540188, Сатпаева 30/8 — Шагабутдинова,8000000,12,2018,в административном здании,1,евроремонт
49521764, Шегабутдинова 31 — Гоголя,25000000,31,,в жилом доме,2,евроремонт
48782429, Брусиловского 167 — Шакарима,17000000,63.9,2012,в жилом доме,1,евроремонт
29836724, Бегалина 54 — Гвардейская,155000000,430,2002,в коттедже,12,хорошее
16874471, Панфилова 83 — Макатаева,49000000,62,,в административном здании,3,хорошее
47078437, Мкр коктем 1 26/1,37000000,50,2015,в бизнес-центре,1,
49407744, Райымбека — Сейфуллина,80000000,340,2004,в коттедже,8,евроремонт
46380141, Микрорайон 2 40г,58605625,130,2017,в жилом доме,,
24451259, Жарокова 124 — Абая,51000000,56.1,2017,в бизнес-центре,2,свободная планировка
49146058, мкр Аксай-1А 27а,6200000,31.5,,в бизнес-центре,1,хорошее
49563313, мкр Горный Гигант,76000000,318,,в коттедже,8,среднее
49597004, Сатпаева — проспект Достык,20900000,42,1962,в жилом доме,2,хорошее
47633138, мкр Алмагуль,220000000,378.5,2005,в коттедже,10,евроремонт
49595561, мкр Карасу 52,152000000,762,1975,в коттедже,28,хорошее
20701381, Кармысова 94,247000000,600,,в коттедже,17,
49472280, Сатпаева — Наурызбай Батыра,150000000,170,1970,в жилом доме,8,евроремонт
24826244, Момышулы — Шаляпина,500000000,1880,,иное,,евроремонт
30779179, мкр Мамыр-3 15 — Саина,44800000,210,2016,в жилом доме,5,хорошее
49178496, Достык — Аль-фараби,206800000,531,2012,в жилом доме,15,хорошее
29676531, мкр Шугыла,20000000,86,2013,в жилом доме,2,хорошее
49191396, Желтоксан 111а — Казыбек би,19000000,38,2008,в бизнес-центре,1,евроремонт
28305000, проспект Аль-Фараби — Аскарова Асанбая,500000000,1100,,в жилом доме,20,евроремонт
26694615, мкр Коктем-2,37500000,105,1980,в жилом доме,3,хорошее
49593834, проспект Гагарина 127/91 — Мынбаева,10300000,26.4,2009,в жилом доме,1,евроремонт
49215002, Толе-би 280 — Тлендиева,19000000,40,2002,в жилом доме,1,хорошее
47790251, Жибек жолы 8 — Барибаева,124000000,278.9,1970,в жилом доме,11,
29973507, Навои 74,293095000,1100,2011,в жилом доме,10,требует ремонта
48579574, Мкр Мамыр-1 29\5,31457000,100.3,2017,в жилом доме,3,черновая отделка
48308452, проспект Аль-Фараби 5 — Назарбаева,161626260,276.4,2004,в жилом доме,1,евроремонт
48309016, мкр Нурлытау (Энергетик),90825260,170,2007,в бизнес-центре,2,евроремонт
48820610, Самал-2 105,206000000,188,2003,в жилом доме,7,
49065430, проспект Аль-Фараби 7 — Козыбаева,110000000,200,2010,в бизнес-центре,5,хорошее
49313001, Закарпатская 51 — Ахметова,34100000,920,2006,,6,требует ремонта
49511060, проспект Аль-Фараби — Козыбаева,76000000,150,,в бизнес-центре,,евроремонт
47894091, проспект Аль-Фараби,600000000,1100,,в бизнес-центре,,евроремонт
30692817, мкр Горный Гигант,69900000,220,2005,в коттедже,5,евроремонт
48308324, Тулебаева — Маметовой,39000000,77,1974,в жилом доме,3,среднее
47948121, Бухар жырау 23,65000000,276,2006,в жилом доме,,
25317016, мкр №1,34000000,138,2015,в жилом доме,5,черновая отделка
24328095, мкр Самал-2,83000000,337.3,,в бизнес-центре,6,евроремонт
29253209, Аль-Фараби 19 — Западный Желтоксан,76000000,128,2010,в бизнес-центре,4,евроремонт
46892693, Сатпаева — Егизбаева,62775570,195,,в жилом доме,,евроремонт
46891978, Сатпаева — Егизбаева,40237117,156.6,,в жилом доме,,евроремонт
47653653, Бекхожина — Бегалина,51600000,172,2018,в жилом доме,3,свободная планировка
49590766, Наурызбай Батыра — Толеби,66000000,180,,в жилом доме,,среднее
24211447, мкр Самал-2,60000000,100,,в жилом доме,3,
28323546, Черкасской Обороны 25 — Ашимбаева,50508413,202,2011,,,хорошее
16953505, Шагабутдинова 30а — Сатпаева,48000000,115,2014,в бизнес-центре,5,евроремонт
47136407, Фаворского 8 — Акпаева,129500000,550,2007,в коттедже,10,евроремонт
30473380, мкр Казахфильм 42 — Исиналиева,33000000,118,2018,в жилом доме,,
26818562, Аль-Фараби 19 — Жельтоксан,25000000,75,2010,в бизнес-центре,,
49032026, Барибаева 31 — Гоголя,412500000,1230,,в административном здании,,хорошее
47701752, Гагарина 66Б — Жамбула,42000000,60,2015,,,евроремонт
46813875, Богенбай батыра 256 — Нурмакова,40000000,61,1981,в жилом доме,5,хорошее
46464621, Мауленова 129 — Курмангазы,88000000,287,,в жилом доме,11,евроремонт
46926154, Кенесары хан 83,5500000,18,2013,в жилом доме,1,хорошее
49048899, Мустафина 83/3 — Аскарова Асанбая,13500000,47,2014,в жилом доме,2,евроремонт
49156635, мкр Самал-2 58 — проспект Аль-Фараби/ Н.Назарбаева,49400000,75.9,2007,в жилом доме,5,евроремонт
47346232, Райымбека 452 — Отеген батыр,50000000,120,2011,в коттедже,2,хорошее
48734242, Панфилова 92 — Айтеке би,21000000,43,1980,в административном здании,3,хорошее
49058649, Микрорайон Айнабулак-2 32/2,48900000,240,2018,в жилом доме,4,евроремонт
49131699, Абая 150/230 блок 12 — Тургут Озала,68000000,127,2010,в бизнес-центре,3,евроремонт
49264978, проспект Аль-Фараби 21/7 — Каратаева 21/7 — Каратаева,27500000,40,2014,в жилом доме,1,евроремонт
46596697, Абылай хана — Ниже Жибек жолы,555000000,223,2014,,,
49464508, Тимирязева 55б — Между Байзакова и Манаса,42000000,60,1981,в жилом доме,4,
24374537, мкр Мамыр-4 102/2 — проспект Абая,311111111,1100,2013,в коттедже,15,евроремонт
48699874, Тастак-2 бн — Толе Би Чайковского,55000000,220,1970,в жилом доме,6,
47731628, Гагарина 127/90 — Мынбаева,12000000,27,,в жилом доме,2,евроремонт
48330637, Сатпаева — Егизбаева,62775570,195,2016,в жилом доме,,евроремонт
47384290, Бекхожина 15 — Бегалина,52860000,176.2,2018,в жилом доме,,черновая отделка
48240874, Брусиловского 167 — Шакарима,3300000,12.3,2012,в жилом доме,1,
49309222, Шевченко 129 — Муканова,11000000,16,1985,в жилом доме,1,хорошее
47961274, Брусиловского 167 — Шакарима,10000000,37.5,2010,в жилом доме,1,хорошее
49085906, проспект Аль-Фараби 15к4В,79159760,161.6,2010,в бизнес-центре,,хорошее
28750384, Зенкова 71,1400000000,2004,1996,в административном здании,25,среднее
30177765, Сатпаева 30/а — Набережная река Есентай,87000000,197.3,2012,в бизнес-центре,4,евроремонт
49585055, Саина 279 — Жандосова,36396400,95.8,2019,,,
49585054, Бекхожина 15 — Бегалина,54450000,181.5,2019,,,
49585049, Бекхожина 15 — Бегалина,51630000,172.1,2019,,,
49585037, Бекхожина 15 — Бегалина,51630000,172.1,2019,,,
49585041, Бекхожина 15 — Бегалина,54450000,181.5,2019,,,
49585008, Жарокова 95 — Курмангазы,33000000,42.5,,,2,
49585048, Саина 279 — Жандосова,42320600,111.4,2019,,,
49585036, Саина 279 — Жандосова,42320600,111.4,2019,,,
49585042, Саина 279 — Жандосова,36396400,95.8,2019,,,
49585022, Бекхожина 15 — Бегалина,55740000,185.8,2019,,,
49585021, Бекхожина 15 — Бегалина,59010000,196.7,2019,,,
49585024, Бекхожина 15 — Бегалина,58650000,195.5,2019,,,
49585023, Саина 279 — Жандосова,78002600,205.3,2019,,,
49585020, Сейфуллина 574/1 — Аль-Фараби,182900000,365.8,2019,,,
49585025, Сейфуллина 574/1 — Аль-Фараби,175300000,350.6,2019,,,
49585005, Маркова 46 — Тимирязева,26000000,46,1980,,3,
49585001, Косая Егизбаева — Солодовникова,62678992,194.7,2014,,,
49584997, Гоголя 176/2 — Чокина,70000000,100,1993,,,
49584990, Сатпаева 30А/1 — Шагабутдинова,46000000,75.7,2017,,,
49584988, Абая 30,38000000,60,1964,,3,
49584800, Маметовой 56 — Наурызбай Батыра,98999999,111.8,,в жилом доме,,евроремонт
13773945, Яссауи 55 — Пионерская,152602800,362.7,,в жилом доме,8,хорошее
26114609, Бальзака 4А,152000000,408,2017,в жилом доме,4,свободная планировка
49584075, Аль-Фараби 7 — Козыбаева,45000000,90,2008,,2,черновая отделка
49562275, проспект Аль-Фараби 15к4В — Желтоксан,79159760,161.6,2010,в бизнес-центре,,хорошее
49561996, проспект Аль-Фараби 15к4В — Желтоксан,52218010,106.6,2010,в бизнес-центре,,хорошее
49561927, проспект Аль-Фараби 15к4В — Желтоксан,51924100,106,2010,в бизнес-центре,,хорошее
49561891, проспект Аль-Фараби 15к4В — Желтоксан,52218010,106.6,2010,в бизнес-центре,,хорошее
49561785, Аль-Фараби 15к4В — Желтоксан,183595780,374.8,,,,хорошее
47316383, Манаса 24а — Абая Манаса,19980000,3,2015,в жилом доме,3,черновая отделка
48077358, Сатпаева 30А/3 — Весновка,87000000,207,2007,в жилом доме,5,
17893229, мкр Ерменсай,66000000,178.6,,в коттедже,4,черновая отделка
26564009, проспект Райымбека,344000000,365,,в жилом доме,,евроремонт
29159522, проспект Аль-Фараби 19к — Желтоксан,385000000,392,2009,в бизнес-центре,,евроремонт
48159565, Бухар Жырау 27/5 — Маркова,83000000,150,2010,в жилом доме,6,евроремонт
47145992, Панфилова — Курмангазы,63000000,60,,в жилом доме,,евроремонт
17276706, Майлина,139000000,600,2015,,12,евроремонт
29697883, Гоголя 176/2 — Исаева,20500000,44,2017,,2,евроремонт
47356459, мкр Орбита-3 39 — Саина,65000000,600,1982,в жилом доме,10,хорошее
/1162646, Туркебаева 257г — Сатпаева,252222222,680,,в административном здании,18,евроремонт
49582178, Брусиловского 167 — Шакарима,240000,38,2012,в жилом доме,2,хорошее
26290422, проспект Достык — Рубинштейна,231000000,420,2010,,7,
49423615, Карасай батыра — Байзакова,56700000,79.1,,в жилом доме,,хорошее
28703082, Карасай Батыра 128 — Жумалиева,25000000,59,,в жилом доме,3,хорошее
30725086, Айтеке би,500000000,850,1999,иное,23,хорошее
19726767, Манаса 24в — Абая,37900000,104.9,,в жилом доме,3,черновая отделка
28299986, Акпаева 59/1,151500000,830,,в жилом доме,25,евроремонт
47435271, мкр Таугуль,70000000,153,,в коттедже,8,хорошее
30562441, мкр Самал-2,42000000,70,,в жилом доме,1,черновая отделка
11251908, Райымбека — Суюнбая,250000000,1050,2005,в административном здании,,евроремонт
20311440, Сатпаева,48000000,90,,в бизнес-центре,1,евроремонт
29075096, Айманова 140,113700000,285.5,2015,иное,6,евроремонт
29280289, Манаса 24В — проспект Абая,21567000,55,2011,в жилом доме,2,свободная планировка
47901085, Джетысуйская 4 — Макатаева,67000000,140,2017,в жилом доме,5,хорошее
49537626, Аль-Фараби — Желтоксан,490990000,680,2008,в бизнес-центре,12,хорошее
47765850, мкр Алатау,240000000,971.5,2005,в коттедже,15,среднее
48520066, мкр Таугуль-1,62985000,195,2006,в жилом доме,6,
30456005, мкр Коктем-1 — Наурызбайский район,65000000,251.5,2009,в бизнес-центре,2,хорошее
25383322, Саина,24000000,137,,в жилом доме,4,среднее
49562715, Фрунзе — Саина,44900000,90,2016,,,евроремонт
47941997, Полежаева 28б — Раимбека,50000000,300,1960,в административном здании,11,евроремонт
49580712, Зенкова 59 — Кабанбай батыра,47700000,70.7,2011,в жилом доме,2,евроремонт
47489837, Зенкова — Кабанбай батыра,90000000,141,2013,в жилом доме,3,хорошее
20230643, Сатпаева,20040000,44,,в жилом доме,1,евроремонт
48460079, проспект Сакена Сейфуллина — Богенбай батыра,188500000,330,1963,в жилом доме,23,хорошее
49440634, Гагарина 238б — Березовского,62000000,209,,в жилом доме,8,хорошее
49440789, мкр Акжар,190000000,200,2019,в коттедже,,хорошее
19023578, проспект Аль-Фараби 5 — Фурманова,130000000,168,2008,в бизнес-центре,6,хорошее
49437439, мкр Орбита-3,95000000,260,2012,в жилом доме,8,евроремонт
30044606, мкр Таугуль-1,27000000,60,2011,в жилом доме,1,евроремонт
29815016, Байтурсынова 9 — Между Макатаева и Жибек Жолы,91000000,135,,в жилом доме,8,хорошее
49438340, Карасай батыра — Байзакова,56700000,79.1,,в жилом доме,,хорошее
49577292, ул. Муратбаева,55000000,96.9,1971,в жилом доме,3,евроремонт
46595549, Абылайхана 59/1 — Алимжанова,555000000,223,2015,иное,,евроремонт
29241304, Жамбыла 100 — Масанчи,2360000000,4012,2018,в бизнес-центре,,черновая отделка
46610284, Наурызбай батыра 99/1 — Шевченко,9500000,19,2014,в жилом доме,1,евроремонт
47498569, Добролюбова — Есенберлина,29900000,220,1994,в жилом доме,10,среднее
12059482, Бухар жырау (Ботанический бульвар) 26,68310000,110,,в бизнес-центре,,свободная планировка
10992430, Бухар Жырау 33,97702200,163,,в бизнес-центре,,свободная планировка
47122728, мкр Самал-2,99000000,114,1989,в жилом доме,7,хорошее
29030848, Курмангазы — Ауэзова,280250000,580,1975,,10,среднее
48829667, Жамбыла 169 — Манаса (Чапаева),45000000,62,,в жилом доме,3,евроремонт
23154483, Манаса 24В,24200000,66,,в жилом доме,3,черновая отделка
19730536, мкр Коктобе,63500000,95,,в жилом доме,4,евроремонт
27818093, Бузурбаева 33 — Гоголя,144450000,300,2007,в жилом доме,7,евроремонт
27488019, Толе би 65 — Желтоксан,43000000,161,,в жилом доме,4,хорошее
48404107, Макатаева 100 — Абылай хана,370000000,823.9,1965,в административном здании,,хорошее
30922298, Шевченко 51 — Пр. Нурсултана Назарбаева,28500000,40,,,1,евроремонт
47567254, Зенкова 25 — Богенбай батыра,80000000,135,2003,в жилом доме,9,
48890197, мкр Самал-2 58 — Аль-Фараби,83000000,360,2011,в бизнес-центре,5,евроремонт
48402845, проспект Абылай хана — Макатаева,370000000,823.9,1965,в административном здании,,хорошее
48284666, Есенберлина — Парк Горького,50000000,600,2010,в жилом доме,10,черновая отделка
49429774, мкр Жетысу-2 57 — Абая - Саина,39000000,68,1991,в жилом доме,3,хорошее
49571438, Байзакова — Толе би,75900000,90,1975,в жилом доме,4,евроремонт
30929695, Достык 433 — Оспанова,250000000,373,2002,в коттедже,7,
17549641, Джандосова — Ауэзова,357000000,825,,в жилом доме,20,евроремонт
49570499, Восточная — Радлова,33800000,63,2015,,,
46520782, Тимирязева 70,38000000,50,1961,в жилом доме,3,хорошее
49570876, Омаровой,55000000,215,2013,в жилом доме,,евроремонт
24042465, Сатпаева 76А,122100000,343,,иное,10,хорошее
49570445, Макатаева — Абдуллиных,25000000,42,1972,,3,
30357966, мкр Мамыр-4,121000000,320,2000,в жилом доме,8,евроремонт
48555052, Тулебаева 21 — Маметова,38000000,53.3,1974,в жилом доме,3,
46335156, мкр Калкаман-2,82000000,360,2010,в коттедже,11,евроремонт
13794599, Байзакова 234/1 — Шевченко,272000000,475,2014,иное,7,евроремонт
29243580, Аль-Фараби 26 — Мендыкулова,97000000,148,,,6,евроремонт
26323579, мкр Айгерим-2,103000000,470,,,,
48870329, проспект Райымбека — Саина,82536000,289,2016,в бизнес-центре,7,черновая отделка
48870798, проспект Райымбека — Саина,98192000,304,2016,в бизнес-центре,8,хорошее
ow/29610, мкр Кулагер,490000000,2100,,в административном здании,52,
48708797, проспект Гагарина — Басенова,20500000,70,2016,в жилом доме,2,хорошее
49569840, Есенберлина 155 — Орманова,220000000,623.6,2012,в жилом доме,6,евроремонт
49569839, Шаляпина,1200000000,2800,1975,в административном здании,40,евроремонт
49270922, Жандосова — Айманова,13500000,41,1973,в административном здании,3,хорошее
48887920, проспект Достык 12,99000000,157.1,2006,в жилом доме,6,хорошее
28244112, проспект Аль-Фараби — Желтоксан,80000000,160,2009,в бизнес-центре,6,евроремонт
49568835, Абая — Алтынсарина,950000000,2102.4,1974,в административном здании,100,хорошее
49569485, Тянь-Шаньская — Макатаева,45000000,308,2003,в коттедже,6,хорошее
48298746, Тулебаева 21 — Макатаева,39000000,77.1,1978,в жилом доме,3,среднее
49568831, Шевченко — Манаса,32000000,54,1985,в жилом доме,3,хорошее
49568847, Шаляпина — Алтынсарина,43000000,62,1969,в жилом доме,3,хорошее
49236320, Жандосова — Айманова,13500000,41,1973,в административном здании,3,хорошее
49289244, мкр Самал-2,95000000,182.4,,в бизнес-центре,7,
47166112, Назарбаева 103,80000000,274.4,1984,в административном здании,8,хорошее
49423884, Северное Кольцо 1 — Рыскулова,500000,16,2017,в административном здании,1,хорошее
47841226, проспект Сакена Сейфуллина 498 — Богенбай батыра,90000000,282,2013,в бизнес-центре,6,евроремонт
47523159, Шевченко 206А — Розыбакиева,420000000,1844,2004,в административном здании,20,хорошее
48828766, Панфилова — Жибек Жолы,230625000,750,,в жилом доме,,хорошее
48769886, проспект Достык — Сатпаева,146664000,560,,в жилом доме,,хорошее
48767564, проспект Достык — Сатпаева,108864000,360,,в жилом доме,,хорошее
48499042, Желтоксан — Толе би,48000000,108.7,2007,в бизнес-центре,4,евроремонт
48737881, Байсеитовой — Жамбыла,130000000,136,,в жилом доме,5,евроремонт
48449734, Шагабутдинова — Сатпаева,86000000,251.9,2009,,9,хорошее
48496516, Байзакова — Айтеке би,1380000000,4198.8,2006,,,
48449423, Сатпаева — Шагабутдинова,64500000,179.2,2009,,9,евроремонт
47668548, Желтоксан — Карасай батыра,64000000,116,,в жилом доме,6,хорошее
10493132, Омарова 33,58960000,168.7,,в коттедже,,свободная планировка
48460698, Амангельды 59А — Жамбыла,68499000,138.6,2009,в административном здании,8,хорошее
48473979, Гоголя — Абдуллиных,60000000,93,2015,в жилом доме,6,евроремонт
49301187, проспект Достык — проспект Аль-Фараби,220000000,530,2012,в коттедже,10,евроремонт
28990413, Абылайхан — Курмангазы,400000000,485,2017,,,
49289095, Таха Хусейна 17а — Бараева,26000000,115,,,,
47312669, мкр №1 64/2 — Алтынсарина,21000000,70,2015,в жилом доме,3,хорошее
49567270, Наурызбай Батыра — Толеби,66000000,180,,в жилом доме,,среднее
46590467, Шевченко 123 — Муратбаевой,44000000,87.5,,в жилом доме,4,хорошее
16011414, Минина 24 — Маркова,63000000,84.2,2015,в жилом доме,4,евроремонт
47103348, Тулебаева 114 А — Богенбай батыра,163400000,242,2007,в жилом доме,4,евроремонт
25338940, Айманова 211 — Жамбыла,85000000,123.9,,в жилом доме,4,хорошее
46586098, проспект Райымбека — Переулок Полежаева,45000000,300,2008,в коттедже,,хорошее
26323333, Достык 97 — Снегина,285000000,302,,,,евроремонт
48159745, Микрорайон Горный Гигант,2590000000,3000,2015,в административном здании,,евроремонт
48970750, Сейфулина — Молдагалиева,31000000,78,,в жилом доме,5,хорошее
48308183, Тургут Озала 150/230 — Абая,72000000,138,,в жилом доме,2,хорошее
48729894, проспект Аль-Фараби 13 — Желтоксан,144000000,196,,в бизнес-центре,6,евроремонт
49052107, Тургута Озала — Мынбаева,72000000,138,,в жилом доме,,хорошее
47120182, Егизбаева 7/2,23315972,72.9,2015,,,
30796701, проспект Аль-Фараби — Желтоксан,490000000,680,,в бизнес-центре,15,евроремонт
27418101, Хаджи Мукана 10a — Сапара Байжанова,109000000,197,2018,в бизнес-центре,2,свободная планировка
49124016, Клочкова 20 — Кабанбай батыра,55000000,133.7,1978,в жилом доме,14,евроремонт
49373620, Орбита 3 — Торайгырова,69000000,434,,в жилом доме,22,
48539174, Егизбаева,43346115,168.7,,,,
48664212, Достык — Снегина,54000000,135,2010,,5,хорошее
48526345, Жарокова 124 — Абая,39000000,46.06,2017,в бизнес-центре,1,
/1237303, Туркебаева 257г — Сатпаева,258888888,670,,в административном здании,22,хорошее
27411215, мкр Коктобе,91000000,386,2016,в бизнес-центре,6,свободная планировка
49348091, мкр Самал-2 58 — проспект Назарбаева,152000000,154.5,2006,в жилом доме,8,евроремонт
30505100, проспект Аль-Фараби — Желтоксан,110000000,226,,в бизнес-центре,4,евроремонт
30415716, мкр Юбилейный,58000000,188,2006,в жилом доме,12,
18561893, Бегалина 75 — Кабанбай батыра (Калинина),119000000,248,2016,иное,7,свободная планировка
28998157, Ораза Рымжанова 35 — Шаляпина,650000000,1532,2013,,,евроремонт
49418722, Жарокова 166 — Жандосова,35000000,68,1989,в жилом доме,3,евроремонт
28547481, проспект Аль-Фараби 7,125000000,163,2008,в бизнес-центре,4,евроремонт
